loss->,,,,,,,train_acc,,,,,,,test_acc,,,,,,,,,,,,
epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC
14,2.833298206,0.006987464,2.272659779,2.029397726,2.864366531,,14,99.90000153,100,98.65000153,99.91666412,90.16666412,,14,99.90000153,100,99.09999847,100,83.90000153,,,,,,,
15,2.728188992,0.005684958,2.162072659,1.881828666,2.773669004,,15,99.81666565,100,99.05000305,99.94999695,91.33333588,,15,99.90000153,100,99.5,100,85.30000305,,,,,,,
16,2.623469591,0.004663874,2.056277752,1.741262317,2.67900753,,16,99.81666565,100,99.05000305,99.91666412,90.90000153,,16,99.90000153,100,99.5,100,84.80000305,,,,,,,
17,2.52047348,0.003854703,1.95262897,1.607341528,2.594047546,,17,99.81666565,100,99.55000305,99.93333435,89.40000153,,17,99.90000153,100,99.80000305,100,82.90000153,,,,,,,
18,2.417571545,0.003206915,1.854598284,1.479689956,2.509970188,,18,99.81666565,100,99.48332977,99.8833313,90.94999695,,18,99.90000153,100,99.80000305,100,85,,,,,,,
19,2.315486431,0.002684473,1.759607553,1.358376503,2.426244259,,19,99.80000305,100,99.55000305,99.90000153,93.66666412,,19,99.90000153,100,99.80000305,100,85.90000153,,,,,,,
20,2.213984966,0.002266467,1.668510914,1.243880272,2.342035055,,20,99.68333435,100,99.73332977,99.93333435,93.1166687,,20,99.59999847,100,99.80000305,100,87.30000305,,,,,,,
21,2.11591506,0.001922707,1.581373692,1.13689208,2.261126757,,21,99.81666565,100,99.73332977,99.94999695,93.8833313,,21,99.90000153,100,99.80000305,100,86.40000153,,,,,,,
22,2.018545389,0.001640592,1.497464657,1.03747499,2.186712503,,22,99.81666565,100,99.73332977,99.94999695,94.51667023,,22,99.90000153,100,99.80000305,100,87.59999847,,,,,,,
23,1.924098134,0.001409084,1.417884231,0.945827723,2.108055592,,23,99.78333282,100,99.81666565,99.94999695,94.8833313,,23,99.90000153,100,99.80000305,100,87.5,,,,,,,
24,1.832915545,0.001212629,1.343114018,0.860594988,2.038431406,,24,99.84999847,100,99.81666565,99.94999695,94.93333435,,24,99.90000153,100,99.80000305,100,88.09999847,,,,,,,
25,1.744107246,0.001051992,1.271872401,0.782726705,1.972419024,,25,99.84999847,100,99.80000305,99.94999695,95.3833313,,25,99.90000153,100,99.80000305,100,88.30000305,,,,,,,
26,1.657670259,0.000914644,1.204168439,0.710916281,1.902373075,,26,99.8833313,100,99.81666565,99.94999695,95.41666412,,26,99.90000153,100,99.80000305,100,88.09999847,,,,,,,
27,1.574371696,0.000795608,1.139759183,0.644712746,1.834679961,,27,99.84999847,100,99.83333588,99.94999695,95.80000305,,27,99.90000153,100,99.80000305,100,88.19999695,,,,,,,
28,1.493995547,0.000701624,1.078851104,0.584725499,1.774833798,,28,99.8666687,100,99.83333588,99.94999695,95.76667023,,28,99.90000153,100,99.80000305,100,88.80000305,,,,,,,
29,1.416716576,0.000619631,1.021398664,0.529514134,1.71189332,,29,99.90000153,100,99.8833313,99.94999695,95.81666565,,29,99.90000153,100,99.80000305,100,89,,,,,,,
30,1.343161821,0.000546197,0.966681898,0.479287535,1.657652259,,30,99.84999847,100,99.91666412,99.94999695,96.01667023,,30,99.90000153,100,99.80000305,100,89.19999695,,,,,,,
31,1.272005558,0.000484434,0.915124834,0.433763832,1.603745461,,31,99.90000153,100,99.90000153,99.93333435,96.21666718,,31,99.90000153,100,99.80000305,100,89.19999695,,,,,,,
32,1.204372525,0.000434033,0.866562128,0.392773688,1.547434807,,32,99.90000153,100,99.90000153,99.94999695,96.41666412,,32,99.90000153,100,99.69999695,100,89.09999847,,,,,,,
33,1.138811231,0.000389115,0.820807934,0.35548079,1.496094584,,33,99.84999847,100,99.90000153,99.94999695,96.59999847,,33,100,100,99.69999695,100,89.40000153,,,,,,,
34,1.076721668,0.000348526,0.778270483,0.32191059,1.446622252,,34,99.8666687,100,99.90000153,99.94999695,96.18333435,,34,99.90000153,100,99.69999695,100,88.69999695,,,,,,,
35,1.017291307,,0.737553179,0.291564107,1.398234725,,35,99.90000153,,99.90000153,99.94999695,96.34999847,,35,99.90000153,,99.69999695,100,89,,,,,,,
36,0.960762799,,0.699567676,0.264476269,1.356957436,,36,99.90000153,,99.91666412,99.96666718,96.58333588,,36,99.90000153,,99.69999695,100,89.40000153,,,,,,,
37,0.90765357,,0.663952351,0.240275219,1.312093616,,37,99.90000153,,99.90000153,99.94999695,96.44999695,,37,99.90000153,,99.69999695,100,88.69999695,,,,,,,
